"CSV_File","Optimal_Gain"
"Te_3672_27.csv",2664
"Te_3678_27.csv",2506
"Te_3684_27.csv",2814
"Te_3690_27.csv",2630
"Te_3648_28.csv",2462
"Te_3654_28.csv",2411
"Te_3660_28.csv",2543
"Te_3666_28.csv",2570
"Te_3672_28.csv",2745
"Te_3678_28.csv",2548
"Te_3684_28.csv",2829
"Te_3690_28.csv",2744
"Te_3648_29.csv",2500
"Te_3654_29.csv",2520
"Te_3660_29.csv",2480
"Te_3666_29.csv",2489
"Te_3672_29.csv",2647
"Te_3678_29.csv",2650
"Te_3684_29.csv",2725
"Te_3690_29.csv",2844
"Te_3648_30.csv",2550
"Te_3654_30.csv",2530
"Te_3660_30.csv",2881
"Te_3666_30.csv",2634
"Te_3672_30.csv",2772
"Te_3678_30.csv",2710
"Te_3684_30.csv",2735
"Te_3690_30.csv",2665
"Te_3648_31.csv",2228
"Te_3654_31.csv",2533
"Te_3660_31.csv",2576
"Te_3666_31.csv",2619
"Te_3672_31.csv",2683
"Te_3678_31.csv",2766
"Te_3684_31.csv",2711
"Te_3690_31.csv",2687
"Te_3648_32.csv",2550
"Te_3654_32.csv",2377
"Te_3660_32.csv",2559
"Te_3666_32.csv",2620
"Te_3672_32.csv",2571
"Te_3678_32.csv",2787
"Te_3684_32.csv",2814
"Te_3690_32.csv",2769
"Te_3648_33.csv",2511
"Te_3654_33.csv",2484
"Te_3660_33.csv",2557
"Te_3666_33.csv",2499
"Te_3672_33.csv",2696
"Te_3678_33.csv",2653
"Te_3684_33.csv",2941
"Te_3690_33.csv",2607
"Te_3648_34.csv",2426
"Te_3654_34.csv",2500
"Te_3660_34.csv",2568
"Te_3666_34.csv",2589
"Te_3672_34.csv",2583
"Te_3678_34.csv",2731
"Te_3684_34.csv",2951
"Te_3690_34.csv",2759
"Te_3648_35.csv",2553
"Te_3654_35.csv",2555
"Te_3660_35.csv",2478
"Te_3666_35.csv",2572
"Te_3672_35.csv",2580
"Te_3678_35.csv",2675
"Te_3684_35.csv",2638
"Te_3690_35.csv",2675
"Te_3648_36.csv",2476
