,MUE_1,MUE_2,MUE_3,MUE_4,MUE_5,MUE_6,MUE_7,MUE_8,MUE_9,MUE_10,MUE_11,MUE_12,MUE_13,MUE_14,MUE_15,MUE_16,MUE_17,MUE_18,MUE_19,MUE_20,MUE_21,MUE_22,MUE_23,MUE_24,MUE_25,MUE_26,MUE_27,MUE_28,MUE_29,MUE_30,MUE_31,MUE_32,MUE_33,MUE_34,MUE_35,MUE_36
FUE_1,0.3829187975097837,0.5096065181561015,0.7353427314515362,0.6683640527620758,0.8313600098356532,0.4233577148190955,0.681098715493625,0.6270293123188864,0.6612560589811277,0.7190618256040221,0.531005063288136,0.6295351967523304,0.6874122477674266,0.7771472735987839,0.6927420890174733,0.6991878881979727,0.0034934087597385155,0.7002778727646458,0.5809954305729305,0.7243495258349181,0.7080014474021956,0.6123258180076988,0.7232495028289274,0.5436532249640402,0.4720395569972297,0.6949228629295451,0.7089797310216627,0.7558694324071212,0.5412491445976986,0.6309701517470909,0.6969195721343823,0.6447328121277595,0.7098336585928157,0.6875657089363422,0.7729269957533482,0.8186656869042589
FUE_2,0.3026021707749319,0.4292955173734489,0.6554818128671442,0.5881739529598882,0.7539478335327153,0.34304173044707204,0.600943534335543,0.5467699467397424,0.5810498584502198,0.6390789180408726,0.45069717050006275,0.5492786577837594,0.6072777925945579,0.6978467212735632,0.6126271854177644,0.6190994513499182,0.0,0.6201942427766483,0.5007023099440815,0.6444021447665637,0.6279549069112267,0.5320523306854715,0.6432944315424586,0.4633478611491039,0.3917253987919434,0.6148165512040726,0.6289382915862901,0.6762280757014056,0.4609432520795918,0.5507152932279611,0.6168214474309603,0.5644966358122282,0.6297967505211949,0.6074317893162059,0.6935472539030373,0.740616166475102
FUE_3,0.18742155913827427,0.3141166685953056,0.5404448018840194,0.47303304778154875,0.6397113132992823,0.2278613200784295,0.48581360941160023,0.43160728913280105,0.46590389358854506,0.5240033056874498,0.3355192956997956,0.4341168871164851,0.49215438954749163,0.5829885547983995,0.49750993779552877,0.5039905410601339,0.0,0.5050868472961679,0.3855290654520699,0.5293377620010584,0.5128592057579515,0.41688524286803125,0.5282276171242117,0.3481707789298448,0.27654556062374736,0.49970200951590654,0.5138441996468458,0.561260839621362,0.34576600416044256,0.4355540498852828,0.5017094847138637,0.4493412564333474,0.5147040882491317,0.4923085548371655,0.5786636605554224,0.6261665033809952
FUE_4,0.181788895839704,0.30846235850725956,0.5330751065861886,0.4669147890808187,0.623515757129333,0.2222261849213068,0.4795617904653674,0.42575454396101214,0.459847284296514,0.5170953898455415,0.3298530292917483,0.428253291689546,0.4858233878915556,0.5735265742571651,0.49110430289217094,0.4974839726128254,0.0,0.49856195932541336,0.37980599264920145,0.5222951249821992,0.506193087983048,0.41108672490653714,0.5212141257483514,0.3424947848309074,0.2709033986119144,0.4932635964846909,0.507158674982565,0.5530657622569101,0.3400920436314088,0.4296840044803999,0.49523984896686335,0.44339953484060624,0.5080013275142308,0.4859755080326213,0.5694945410835841,0.6121925810633416
FUE_5,0.46871802383321143,0.5954060520349442,0.8211667694549388,0.7541701884470092,0.9173139400076109,0.5091569762603165,0.7669067552412168,0.7128316674990332,0.7470613163136449,0.8048792416814198,0.6168047670591869,0.7153377063002708,0.7732214171068712,0.8630015437627335,0.7785523235556522,0.7849995640869827,0.08929260481729852,0.7860898103564087,0.6667959417041386,0.8101688718977673,0.7938154035183131,0.6981274018488965,0.8090684312234881,0.6294530669692564,0.5578389182722494,0.7807335654472337,0.794793964647485,0.84170535229759,0.6270489577044165,0.7167727530645712,0.7827307205128812,0.7305364334956237,0.7956481387143628,0.7733749074584888,0.8587770120771945,0.9045863596564326
FUE_6,0.22746021354491294,0.35415598193211845,0.5805372317841142,0.5130865512363797,0.6801072494314145,0.2679000497145089,0.5258712218818254,0.4716526559086675,0.505955504013004,0.5640812603023094,0.3755589731080161,0.47416258556906576,0.5322144431841671,0.6231482416190584,0.5375722958162219,0.5440560208895229,0.0,0.5451528943998578,0.42557047378913054,0.5694199261364118,0.5529296329759597,0.4569289530537823,0.568308869625876,0.38821075261045146,0.31658450413760025,0.5397653806647438,0.5539152297013763,0.6013794718478547,0.38580591590075053,0.4755999455378883,0.5417738215214223,0.4893893451762835,0.5547756539005892,0.5323686715750976,0.6188137660242127,0.6664810019371864
FUE_7,0.3820774994587434,0.5087612080274825,0.7341788195191943,0.6674327011639616,0.8285411738427152,0.42251595863779384,0.6801425763793912,0.6261472135444541,0.66033614621913,0.7179838067253038,0.5301575370476268,0.6286510858835761,0.6864414093228656,0.7755931310589403,0.6917573932443336,0.6981844479430496,0.0026525055464665507,0.6992710298898565,0.5801373743219216,0.723246457475913,0.7069683679501418,0.6114537744309392,0.7221518543389427,0.542803895640487,0.47119649845450573,0.6939320803859227,0.7079430456295391,0.754551778697069,0.5404001922115736,0.6300848447551413,0.6959229912133653,0.643834211784376,0.7087937704774828,0.6865944907972227,0.7714275724331187,0.8162652484575833
FUE_8,0.1891149264928809,0.3157849408850239,0.5401295959027419,0.47416386015478645,0.6293388804205933,0.22955182173073196,0.4867898383156408,0.43304559279817684,0.46710608026790107,0.524221056978696,0.337173707765977,0.43554262027764656,0.4930390010621088,0.5802674401516479,0.49830821565661687,0.504672092374706,0.0,0.5057472164047938,0.38711763223223755,0.5293999517747554,0.5133563146303135,0.4183863773467791,0.528323455919852,0.34981391465520223,0.27822791594274143,0.5004623766293764,0.514318879696821,0.5599948121068347,0.3474114971728704,0.436972310654585,0.502433743492168,0.45067648909462216,0.5151588494049808,0.4931908003247245,0.5762784461981787,0.618303863758921
FUE_9,0.18364282986329653,0.3103138684359683,0.5347380058299882,0.4687146102320903,0.6243087044021743,0.2240798420800133,0.4813468253876865,0.4275838840092358,0.461653944649772,0.5188083924220689,0.3317032007796126,0.43008142219073014,0.4875996763249965,0.5749684691849458,0.492872360760188,0.499240920146099,0.0,0.5003168928632287,0.38164980961584405,0.5239934597531022,0.5079325212665079,0.41292211417126085,0.5229156302241375,0.34434386760995933,0.272756268794468,0.4950280436771783,0.508895981932737,0.5546403135169151,0.34194135398607023,0.4315114160930608,0.4970008591455103,0.44521896431378266,0.5097367467095408,0.48775157075370545,0.5709667879737622,0.6131896470619761
FUE_10,0.19241418149742776,0.31910426913138773,0.5450293683684447,0.47791263451037563,0.6420579004143663,0.23285336907328363,0.490661965576566,0.43654878073808756,0.470797875363822,0.5286973601972323,0.34050412181638706,0.4390558536691878,0.49698420157623135,0.5870677677626875,0.5023222515405016,0.5087791599442607,0.0,0.5098711618063796,0.3905007032292125,0.5339999499266043,0.5176102981946382,0.42183934813885776,0.5328967043717054,0.35315334741420434,0.28153597957896326,0.5045066321842954,0.5185907215803043,0.5656478721347067,0.3507490446284641,0.44049151522062263,0.5065067778518867,0.4542620297815871,0.5194465498448949,0.497137887620197,0.5828145299886086,0.6291030366583206
